Pasaporte,Nombre,País,Lugares Favoritos
AB123456,John Smith,Estados Unidos,Museo del Arte;Parque Libertad
XY987654,Maria González,España,Castillo Histórico
JK112233,Yuki Tanaka,Japón,Monumento a la Independencia;Museo del Arte
LM445566,François Dubois,Francia,Galería Nacional;Jardín Botánico
GH778899,Olga Kuznetsova,Rusia,Teatro Central;Acuario Ciudad
RT112233,Chen Wei,China,Zoológico Metropolitano;Parque de Aventuras
OP445566,Luca Rossi,Italia,Museo de Ciencias;Biblioteca Principal
WE778899,Sara O'Connor,Irlanda,Catedral Histórica;Estadio Deportivo
TU112233,Carlos Hernández,México,Playa Central;Bosque Nacional
PO445566,Mohamed Al-Saadi,Egipto,Mercado Tradicional;Puente Emblemático
ZA778899,Kim Jisoo,Corea del Sur,Museo de la Historia;Faro Turístico
NB112233,Kevin Johnson,Canadá,Museo del Arte;Teatro Central
QW445566,Lena Schmidt,Alemania,Jardín Botánico;Zoológico Metropolitano
ER778899,Ravi Verma,India,Parque de Aventuras;Museo de Ciencias
TY112233,Grace Wilson,Reino Unido,Biblioteca Principal;Catedral Histórica
UI445566,Satoshi Yamamoto,Japón,Estadio Deportivo;Playa Central
OM778899,Alice Martins,Brasil,Bosque Nacional;Mercado Tradicional
PL112233,Nadia Ibrahim,Egipto,Puente Emblemático;Museo de la Historia
KJ445566,Tom Andersen,Dinamarca,Faro Turístico;Museo del Arte
HA778899,Simon Van der Walt,Sudáfrica,Parque Libertad;Castillo Histórico
